 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
3/1/16;10.327
3/2/16;17.293
3/3/16;0.772
3/4/16;9.002
3/5/16;16.966
3/6/16;17.606
3/7/16;16.985
3/8/16;13.303
3/9/16;13.735
3/10/16;9.400
3/11/16;10.488
3/12/16;7.491
3/13/16;12.004
3/14/16;10.891
3/15/16;14.708
3/16/16;13.226
3/17/16;14.450
3/18/16;12.924
3/19/16;10.857
3/20/16;16.211
3/21/16;19.129
3/22/16;18.600
3/23/16;14.705
3/24/16;9.510
3/25/16;9.999
3/26/16;3.600
3/27/16;2.247
3/28/16;14.714
3/29/16;18.176
3/30/16;15.338
3/31/16;5.963
