 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
8/1/17;14.843
8/2/17;9.838
8/3/17;8.510
8/4/17;9.344
8/5/17;11.299
8/6/17;12.080
8/7/17;12.629
8/8/17;4.585
8/9/17;8.298
8/10/17;10.691
8/11/17;12.142
8/12/17;11.253
8/13/17;14.203
8/14/17;14.516
8/15/17;14.835
8/16/17;12.638
8/17/17;14.760
8/18/17;14.805
8/19/17;16.500
8/20/17;16.412
8/21/17;9.929
8/22/17;12.347
8/23/17;14.111
8/24/17;15.980
8/25/17;15.170
8/26/17;7.703
8/27/17;15.374
8/28/17;10.690
8/29/17;12.623
8/30/17;2.399
8/31/17;6.912
