 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
8/1/19;13.297
8/2/19;12.288
8/3/19;8.882
8/4/19;13.641
8/5/19;12.038
8/6/19;12.810
8/7/19;14.114
8/8/19;12.151
8/9/19;14.964
8/10/19;13.903
8/11/19;15.379
8/12/19;14.405
8/13/19;13.453
8/14/19;15.639
8/15/19;16.172
8/16/19;16.606
8/17/19;16.224
8/18/19;13.404
8/19/19;10.074
8/20/19;14.611
8/21/19;15.127
8/22/19;14.003
8/23/19;13.919
8/24/19;10.322
8/25/19;4.291
8/26/19;3.810
8/27/19;7.473
8/28/19;16.262
8/29/19;17.192
8/30/19;17.130
8/31/19;11.739
