 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
6/1/18;12.080
6/2/18;10.069
6/3/18;14.583
6/4/18;17.580
6/5/18;14.305
6/6/18;16.460
6/7/18;16.670
6/8/18;14.904
6/9/18;14.892
6/10/18;13.752
6/11/18;10.871
6/12/18;11.397
6/13/18;12.668
6/14/18;11.405
6/15/18;11.962
6/16/18;10.564
6/17/18;5.073
6/18/18;15.625
6/19/18;15.577
6/20/18;16.100
6/21/18;11.220
6/22/18;13.938
6/23/18;8.295
6/24/18;12.440
6/25/18;11.498
6/26/18;14.847
6/27/18;14.222
6/28/18;10.446
6/29/18;16.383
6/30/18;11.654
