 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
10/1/15;2.647
10/2/15;4.040
10/3/15;5.317
10/4/15;4.332
10/5/15;5.461
10/6/15;14.987
10/7/15;14.562
10/8/15;13.947
10/9/15;8.415
10/10/15;8.272
10/11/15;9.985
10/12/15;12.663
10/13/15;10.878
10/14/15;13.603
10/15/15;13.123
10/16/15;12.727
10/17/15;13.926
10/18/15;13.927
10/19/15;13.558
10/20/15;12.741
10/21/15;12.119
10/22/15;9.185
10/23/15;10.936
10/24/15;8.505
10/25/15;4.672
10/26/15;1.066
10/27/15;1.290
10/28/15;7.984
10/29/15;5.553
10/30/15;12.216
10/31/15;3.710
