 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
6/1/16;13.692
6/2/16;14.359
6/3/16;14.909
6/4/16;10.042
6/5/16;8.074
6/6/16;5.370
6/7/16;17.112
6/8/16;17.748
6/9/16;17.116
6/10/16;16.037
6/11/16;15.016
6/12/16;15.144
6/13/16;14.470
6/14/16;14.266
6/15/16;14.140
6/16/16;14.720
6/17/16;14.110
6/18/16;4.450
6/19/16;15.332
6/20/16;14.682
6/21/16;15.556
6/22/16;14.019
6/23/16;16.244
6/24/16;14.774
6/25/16;14.672
6/26/16;6.029
6/27/16;16.065
6/28/16;15.145
6/29/16;14.567
6/30/16;15.193
