 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
11/1/20;10.968
11/2/20;12.683
11/3/20;12.080
11/4/20;11.686
11/5/20;9.916
11/6/20;11.218
11/7/20;2.833
11/8/20;3.792
11/9/20;6.364
11/10/20;2.109
11/11/20;2.322
11/12/20;8.573
11/13/20;11.455
11/14/20;11.128
11/15/20;4.766
11/16/20;11.895
11/17/20;11.916
11/18/20;11.598
11/19/20;11.563
11/20/20;8.982
11/21/20;7.752
11/22/20;5.572
11/23/20;11.790
11/24/20;11.090
11/25/20;4.528
11/26/20;6.041
11/27/20;7.262
11/28/20;6.260
11/29/20;0.617
11/30/20;1.822
