 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
5/1/20;17.233
5/2/20;16.542
5/3/20;16.594
5/4/20;14.537
5/5/20;13.180
5/6/20;17.183
5/7/20;17.462
5/8/20;5.599
5/9/20;17.936
5/10/20;17.133
5/11/20;17.414
5/12/20;16.636
5/13/20;15.108
5/14/20;4.968
5/15/20;12.809
5/16/20;14.674
5/17/20;10.825
5/18/20;7.128
5/19/20;12.743
5/20/20;6.799
5/21/20;12.511
5/22/20;11.461
5/23/20;12.564
5/24/20;13.237
5/25/20;15.421
5/26/20;4.197
5/27/20;5.926
5/28/20;12.796
5/29/20;10.721
5/30/20;14.071
5/31/20;16.296
