 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
7/1/16;14.757
7/2/16;14.897
7/3/16;14.967
7/4/16;13.784
7/5/16;7.538
7/6/16;9.490
7/7/16;14.812
7/8/16;13.636
7/9/16;10.344
7/10/16;15.718
7/11/16;12.652
7/12/16;13.186
7/13/16;12.957
7/14/16;12.969
7/15/16;11.531
7/16/16;9.343
7/17/16;15.118
7/18/16;16.291
7/19/16;14.466
7/20/16;15.648
7/21/16;11.243
7/22/16;14.373
7/23/16;13.698
7/24/16;14.557
7/25/16;12.038
7/26/16;16.623
7/27/16;11.022
7/28/16;12.590
7/29/16;14.379
7/30/16;12.530
7/31/16;12.958
