 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
7/1/19;14.463
7/2/19;15.166
7/3/19;10.559
7/4/19;9.069
7/5/19;12.113
7/6/19;14.356
7/7/19;14.229
7/8/19;15.476
7/9/19;8.847
7/10/19;10.581
7/11/19;13.571
7/12/19;14.229
7/13/19;7.840
7/14/19;13.264
7/15/19;13.768
7/16/19;15.867
7/17/19;14.994
7/18/19;10.568
7/19/19;6.013
7/20/19;12.899
7/21/19;14.176
7/22/19;15.223
7/23/19;10.083
7/24/19;15.869
7/25/19;15.650
7/26/19;15.002
7/27/19;12.839
7/28/19;11.934
7/29/19;10.984
7/30/19;14.148
7/31/19;12.442
