 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
3/1/20;9.921
3/2/20;3.191
3/3/20;0.857
3/4/20;1.396
3/5/20;1.581
3/6/20;16.236
3/7/20;16.307
3/8/20;12.576
3/9/20;10.030
3/10/20;4.833
3/11/20;4.072
3/12/20;12.323
3/13/20;5.501
3/14/20;13.542
3/15/20;7.634
3/16/20;7.322
3/17/20;5.909
3/18/20;7.710
3/19/20;12.465
3/20/20;9.500
3/21/20;10.087
3/22/20;6.323
3/23/20;2.493
3/24/20;9.172
3/25/20;15.769
3/26/20;16.316
3/27/20;11.897
3/28/20;13.046
3/29/20;9.851
3/30/20;10.553
3/31/20;3.933
