 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
7/1/20;8.920
7/2/20;12.234
7/3/20;10.892
7/4/20;14.689
7/5/20;15.083
7/6/20;9.195
7/7/20;9.799
7/8/20;9.312
7/9/20;12.663
7/10/20;14.077
7/11/20;16.220
7/12/20;12.119
7/13/20;12.014
7/14/20;14.113
7/15/20;13.735
7/16/20;15.825
7/17/20;14.623
7/18/20;13.758
7/19/20;16.507
7/20/20;14.621
7/21/20;15.682
7/22/20;15.907
7/23/20;15.521
7/24/20;10.771
7/25/20;14.225
7/26/20;14.662
7/27/20;16.042
7/28/20;10.234
7/29/20;6.537
7/30/20;9.324
7/31/20;14.046
