 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
12/1/18;0.499
12/2/18;8.119
12/3/18;10.250
12/4/18;11.608
12/5/18;11.793
12/6/18;9.928
12/7/18;2.122
12/8/18;0.579
12/9/18;1.648
12/10/18;1.437
12/11/18;11.573
12/12/18;9.074
12/13/18;3.499
12/14/18;0.672
12/15/18;2.102
12/16/18;2.069
12/17/18;10.981
12/18/18;10.677
12/19/18;5.229
12/20/18;0.834
12/21/18;1.961
12/22/18;11.292
12/23/18;6.068
12/24/18;11.411
12/25/18;10.537
12/26/18;9.085
12/27/18;2.674
12/28/18;0.482
12/29/18;7.622
12/30/18;1.315
12/31/18;2.597
