 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
12/1/19;10.519
12/2/19;10.470
12/3/19;9.322
12/4/19;10.610
12/5/19;10.654
12/6/19;2.403
12/7/19;8.062
12/8/19;6.312
12/9/19;4.432
12/10/19;1.804
12/11/19;10.028
12/12/19;2.041
12/13/19;1.095
12/14/19;8.770
12/15/19;5.378
12/16/19;4.359
12/17/19;1.078
12/18/19;11.570
12/19/19;11.064
12/20/19;8.883
12/21/19;2.787
12/22/19;0.567
12/23/19;2.168
12/24/19;10.302
12/25/19;9.901
12/26/19;8.001
12/27/19;4.194
12/28/19;3.006
12/29/19;3.178
12/30/19;11.061
12/31/19;11.240
