 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
1/1/18;7.818
1/2/18;12.222
1/3/18;8.745
1/4/18;12.168
1/5/18;11.470
1/6/18;11.618
1/7/18;9.251
1/8/18;2.478
1/9/18;7.005
1/10/18;3.823
1/11/18;4.265
1/12/18;2.370
1/13/18;6.183
1/14/18;12.404
1/15/18;11.783
1/16/18;6.367
1/17/18;2.896
1/18/18;12.157
1/19/18;12.296
1/20/18;9.289
1/21/18;11.440
1/22/18;2.683
1/23/18;12.517
1/24/18;11.338
1/25/18;12.580
1/26/18;8.129
1/27/18;2.452
1/28/18;0.861
1/29/18;13.102
1/30/18;13.492
1/31/18;12.968
