 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
5/1/17;9.934
5/2/17;18.276
5/3/17;16.877
5/4/17;2.880
5/5/17;4.095
5/6/17;18.615
5/7/17;18.352
5/8/17;17.874
5/9/17;17.114
5/10/17;16.909
5/11/17;15.053
5/12/17;11.224
5/13/17;11.440
5/14/17;17.165
5/15/17;17.060
5/16/17;16.998
5/17/17;16.415
5/18/17;13.953
5/19/17;15.718
5/20/17;9.153
5/21/17;13.314
5/22/17;6.763
5/23/17;5.645
5/24/17;12.226
5/25/17;16.131
5/26/17;17.211
5/27/17;13.622
5/28/17;13.243
5/29/17;10.172
5/30/17;9.796
5/31/17;7.817
