 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
10/1/16;15.780
10/2/16;9.725
10/3/16;14.876
10/4/16;13.328
10/5/16;15.071
10/6/16;13.950
10/7/16;8.329
10/8/16;14.524
10/9/16;14.626
10/10/16;13.144
10/11/16;13.942
10/12/16;13.791
10/13/16;13.002
10/14/16;12.017
10/15/16;8.626
10/16/16;7.466
10/17/16;11.743
10/18/16;10.907
10/19/16;9.773
10/20/16;9.189
10/21/16;13.132
10/22/16;13.562
10/23/16;12.813
10/24/16;10.549
10/25/16;12.181
10/26/16;10.901
10/27/16;10.184
10/28/16;11.775
10/29/16;11.624
10/30/16;11.673
10/31/16;11.509
