 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
3/1/19;4.438
3/2/19;4.025
3/3/19;2.342
3/4/19;5.644
3/5/19;16.821
3/6/19;16.974
3/7/19;16.258
3/8/19;9.914
3/9/19;8.630
3/10/19;4.346
3/11/19;3.540
3/12/19;16.309
3/13/19;13.201
3/14/19;7.340
3/15/19;4.799
3/16/19;6.515
3/17/19;16.438
3/18/19;16.605
3/19/19;17.896
3/20/19;17.794
3/21/19;15.589
3/22/19;18.480
3/23/19;18.028
3/24/19;15.922
3/25/19;8.949
3/26/19;6.618
3/27/19;18.657
3/28/19;18.323
3/29/19;14.346
3/30/19;15.397
3/31/19;7.548
