 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
4/1/20;17.475
4/2/20;16.346
4/3/20;15.136
4/4/20;13.689
4/5/20;12.763
4/6/20;14.930
4/7/20;5.007
4/8/20;6.561
4/9/20;14.518
4/10/20;17.254
4/11/20;17.504
4/12/20;3.920
4/13/20;15.994
4/14/20;16.785
4/15/20;18.238
4/16/20;17.831
4/17/20;16.598
4/18/20;15.035
4/19/20;2.741
4/20/20;15.558
4/21/20;11.371
4/22/20;9.947
4/23/20;3.398
4/24/20;14.237
4/25/20;15.251
4/26/20;17.672
4/27/20;17.636
4/28/20;15.481
4/29/20;5.288
4/30/20;10.414
