 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
6/1/20;14.458
6/2/20;15.671
6/3/20;12.066
6/4/20;11.978
6/5/20;10.040
6/6/20;10.906
6/7/20;10.230
6/8/20;9.180
6/9/20;5.972
6/10/20;8.278
6/11/20;16.260
6/12/20;15.582
6/13/20;15.234
6/14/20;13.495
6/15/20;14.883
6/16/20;12.933
6/17/20;11.562
6/18/20;13.083
6/19/20;14.640
6/20/20;13.734
6/21/20;11.023
6/22/20;11.560
6/23/20;11.234
6/24/20;9.156
6/25/20;6.171
6/26/20;10.875
6/27/20;8.134
6/28/20;14.016
6/29/20;13.036
6/30/20;9.965
