 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
Jan 15;
Feb 15;
Mar 15;
Apr 15;
May 15;
Jun 15;
Jul 15;
Aug 15;345.032
Sep 15;330.714
Oct 15;286.347
Nov 15;224.818
Dec 15;188.706
