 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
5/1/16;12.176
5/2/16;13.017
5/3/16;8.783
5/4/16;16.983
5/5/16;15.697
5/6/16;17.037
5/7/16;17.790
5/8/16;17.699
5/9/16;11.527
5/10/16;13.095
5/11/16;15.605
5/12/16;13.014
5/13/16;17.389
5/14/16;17.845
5/15/16;17.488
5/16/16;14.865
5/17/16;5.095
5/18/16;6.896
5/19/16;12.003
5/20/16;6.737
5/21/16;11.758
5/22/16;18.235
5/23/16;17.401
5/24/16;16.983
5/25/16;16.283
5/26/16;15.687
5/27/16;14.868
5/28/16;14.808
5/29/16;16.165
5/30/16;16.230
5/31/16;16.021
