 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
11/1/15;1.535
11/2/15;3.069
11/3/15;7.879
11/4/15;3.469
11/5/15;1.695
11/6/15;5.397
11/7/15;4.248
11/8/15;0.956
11/9/15;1.368
11/10/15;5.589
11/11/15;12.443
11/12/15;5.219
11/13/15;12.183
11/14/15;12.640
11/15/15;7.955
11/16/15;10.441
11/17/15;7.855
11/18/15;1.766
11/19/15;12.081
11/20/15;11.842
11/21/15;5.354
11/22/15;12.785
11/23/15;12.364
11/24/15;10.385
11/25/15;7.562
11/26/15;11.288
11/27/15;8.529
11/28/15;9.822
11/29/15;8.814
11/30/15;8.285
