 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
Jan 19;222.370
Feb 19;194.772
Mar 19;367.686
Apr 19;404.135
May 19;454.701
Jun 19;366.889
Jul 19;396.222
Aug 19;405.323
Sep 19;323.580
Oct 19;
Nov 19;228.275
Dec 19;205.259
