 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
8/1/15;
8/2/15;
8/3/15;
8/4/15;3.850
8/5/15;14.882
8/6/15;8.226
8/7/15;12.462
8/8/15;16.232
8/9/15;15.639
8/10/15;13.746
8/11/15;8.888
8/12/15;16.889
8/13/15;15.808
8/14/15;12.394
8/15/15;15.726
8/16/15;10.336
8/17/15;9.419
8/18/15;11.407
8/19/15;8.550
8/20/15;12.707
8/21/15;13.133
8/22/15;12.668
8/23/15;12.424
8/24/15;14.684
8/25/15;16.809
8/26/15;17.289
8/27/15;14.486
8/28/15;10.063
8/29/15;6.194
8/30/15;9.025
8/31/15;11.096
