 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
9/1/17;13.700
9/2/17;15.784
9/3/17;14.633
9/4/17;12.555
9/5/17;14.091
9/6/17;9.937
9/7/17;18.127
9/8/17;16.936
9/9/17;17.487
9/10/17;11.373
9/11/17;0.546
9/12/17;4.528
9/13/17;14.049
9/14/17;9.258
9/15/17;14.121
9/16/17;10.564
9/17/17;14.362
9/18/17;14.096
9/19/17;15.029
9/20/17;15.786
9/21/17;15.037
9/22/17;12.392
9/23/17;14.620
9/24/17;13.258
9/25/17;15.189
9/26/17;15.719
9/27/17;15.701
9/28/17;14.925
9/29/17;15.048
9/30/17;9.468
