 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
2/1/16;4.202
2/2/16;9.419
2/3/16;1.673
2/4/16;13.674
2/5/16;14.303
2/6/16;12.000
2/7/16;13.772
2/8/16;8.407
2/9/16;4.963
2/10/16;14.714
2/11/16;13.236
2/12/16;13.477
2/13/16;14.362
2/14/16;13.656
2/15/16;5.443
2/16/16;13.924
2/17/16;14.534
2/18/16;14.392
2/19/16;14.251
2/20/16;4.786
2/21/16;3.507
2/22/16;2.477
2/23/16;5.027
2/24/16;5.205
2/25/16;13.350
2/26/16;16.502
2/27/16;16.091
2/28/16;16.079
2/29/16;13.429
