 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
10/1/18;13.280
10/2/18;12.537
10/3/18;12.610
10/4/18;13.059
10/5/18;12.911
10/6/18;10.769
10/7/18;11.807
10/8/18;10.151
10/9/18;8.075
10/10/18;1.483
10/11/18;12.265
10/12/18;13.235
10/13/18;12.880
10/14/18;12.211
10/15/18;7.648
10/16/18;9.294
10/17/18;7.416
10/18/18;12.210
10/19/18;6.162
10/20/18;2.729
10/21/18;13.364
10/22/18;12.183
10/23/18;7.059
10/24/18;12.157
10/25/18;1.998
10/26/18;2.228
10/27/18;5.169
10/28/18;12.115
10/29/18;12.228
10/30/18;11.674
10/31/18;11.263
