 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
12/1/17;3.156
12/2/17;9.725
12/3/17;10.326
12/4/17;5.180
12/5/17;3.740
12/6/17;1.248
12/7/17;1.677
12/8/17;0.642
12/9/17;11.749
12/10/17;11.592
12/11/17;11.168
12/12/17;10.679
12/13/17;11.559
12/14/17;5.790
12/15/17;4.311
12/16/17;11.002
12/17/17;1.720
12/18/17;3.025
12/19/17;3.692
12/20/17;1.230
12/21/17;3.237
12/22/17;2.081
12/23/17;1.771
12/24/17;3.495
12/25/17;10.753
12/26/17;10.120
12/27/17;2.142
12/28/17;5.815
12/29/17;11.354
12/30/17;11.009
12/31/17;2.085
