 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
3/1/18;5.137
3/2/18;16.608
3/3/18;16.414
3/4/18;16.059
3/5/18;3.769
3/6/18;3.503
3/7/18;17.689
3/8/18;17.776
3/9/18;16.929
3/10/18;13.020
3/11/18;1.494
3/12/18;11.380
3/13/18;18.624
3/14/18;19.036
3/15/18;18.539
3/16/18;11.202
3/17/18;6.832
3/18/18;7.732
3/19/18;4.664
3/20/18;11.717
3/21/18;14.188
3/22/18;19.346
3/23/18;8.176
3/24/18;13.218
3/25/18;10.379
3/26/18;2.791
3/27/18;7.143
3/28/18;15.428
3/29/18;7.166
3/30/18;13.987
3/31/18;18.883
