 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
Jan 16;250.451
Feb 16;310.855
Mar 16;380.620
Apr 16;428.699
May 16;445.180
Jun 16;413.053
Jul 16;410.115
Aug 16;416.544
Sep 16;413.408
Oct 16;373.712
Nov 16;278.280
Dec 16;197.199
