 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
4/1/18;17.658
4/2/18;15.967
4/3/18;11.257
4/4/18;11.294
4/5/18;18.797
4/6/18;14.569
4/7/18;2.648
4/8/18;15.930
4/9/18;6.739
4/10/18;15.111
4/11/18;18.699
4/12/18;18.058
4/13/18;17.790
4/14/18;12.125
4/15/18;5.429
4/16/18;19.826
4/17/18;18.912
4/18/18;17.849
4/19/18;18.459
4/20/18;19.234
4/21/18;16.980
4/22/18;1.575
4/23/18;12.230
4/24/18;4.175
4/25/18;
4/26/18;
4/27/18;
4/28/18;
4/29/18;
4/30/18;
