 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
6/1/19;16.160
6/2/19;14.134
6/3/19;16.249
6/4/19;12.161
6/5/19;7.872
6/6/19;4.265
6/7/19;9.910
6/8/19;3.249
6/9/19;6.551
6/10/19;6.508
6/11/19;15.610
6/12/19;8.064
6/13/19;16.883
6/14/19;17.047
6/15/19;15.442
6/16/19;15.395
6/17/19;15.222
6/18/19;6.991
6/19/19;12.607
6/20/19;13.734
6/21/19;13.841
6/22/19;12.184
6/23/19;14.984
6/24/19;12.590
6/25/19;14.910
6/26/19;9.152
6/27/19;12.913
6/28/19;15.666
6/29/19;12.539
6/30/19;14.056
