 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
9/1/15;14.464
9/2/15;14.731
9/3/15;8.761
9/4/15;15.915
9/5/15;12.508
9/6/15;13.720
9/7/15;13.520
9/8/15;7.912
9/9/15;12.419
9/10/15;11.864
9/11/15;11.365
9/12/15;6.880
9/13/15;17.892
9/14/15;17.383
9/15/15;12.895
9/16/15;8.726
9/17/15;16.431
9/18/15;16.237
9/19/15;15.366
9/20/15;13.940
9/21/15;7.333
9/22/15;8.619
9/23/15;12.780
9/24/15;7.818
9/25/15;3.708
9/26/15;5.473
9/27/15;4.982
9/28/15;2.126
9/29/15;4.001
9/30/15;10.945
