 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
1/1/16;2.066
1/2/16;8.302
1/3/16;8.853
1/4/16;12.419
1/5/16;12.343
1/6/16;9.164
1/7/16;6.083
1/8/16;1.490
1/9/16;1.481
1/10/16;2.985
1/11/16;12.633
1/12/16;12.184
1/13/16;12.100
1/14/16;10.093
1/15/16;2.287
1/16/16;11.557
1/17/16;12.542
1/18/16;11.809
1/19/16;12.822
1/20/16;6.856
1/21/16;1.282
1/22/16;2.833
1/23/16;6.965
1/24/16;12.900
1/25/16;11.694
1/26/16;4.864
1/27/16;1.850
1/28/16;3.929
1/29/16;12.959
1/30/16;12.629
1/31/16;8.477
