 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
12/1/16;11.816
12/2/16;11.542
12/3/16;1.914
12/4/16;0.497
12/5/16;1.280
12/6/16;4.981
12/7/16;2.670
12/8/16;10.914
12/9/16;11.917
12/10/16;11.699
12/11/16;4.932
12/12/16;3.152
12/13/16;1.114
12/14/16;4.950
12/15/16;11.494
12/16/16;10.546
12/17/16;3.051
12/18/16;2.982
12/19/16;3.039
12/20/16;1.908
12/21/16;11.056
12/22/16;4.801
12/23/16;9.356
12/24/16;10.551
12/25/16;9.024
12/26/16;3.520
12/27/16;4.539
12/28/16;3.799
12/29/16;10.795
12/30/16;11.842
12/31/16;1.518
