 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
9/1/20;13.538
9/2/20;13.537
9/3/20;15.813
9/4/20;15.982
9/5/20;17.228
9/6/20;17.184
9/7/20;16.749
9/8/20;12.221
9/9/20;13.051
9/10/20;7.221
9/11/20;12.056
9/12/20;12.902
9/13/20;13.876
9/14/20;11.825
9/15/20;5.163
9/16/20;0.740
9/17/20;6.132
9/18/20;10.694
9/19/20;4.722
9/20/20;15.406
9/21/20;13.549
9/22/20;11.562
9/23/20;11.525
9/24/20;1.972
9/25/20;6.022
9/26/20;11.109
9/27/20;8.600
9/28/20;12.182
9/29/20;3.088
9/30/20;15.454
