 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
10/1/20;14.561
10/2/20;15.370
10/3/20;14.549
10/4/20;11.666
10/5/20;13.196
10/6/20;8.471
10/7/20;12.174
10/8/20;10.532
10/9/20;0.698
10/10/20;2.624
10/11/20;4.919
10/12/20;9.729
10/13/20;12.251
10/14/20;12.384
10/15/20;10.193
10/16/20;8.659
10/17/20;12.759
10/18/20;12.047
10/19/20;11.377
10/20/20;10.369
10/21/20;7.965
10/22/20;6.951
10/23/20;7.973
10/24/20;2.884
10/25/20;4.299
10/26/20;7.309
10/27/20;2.288
10/28/20;2.753
10/29/20;9.002
10/30/20;12.443
10/31/20;8.742
