 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
8/1/20;14.249
8/2/20;14.629
8/3/20;12.302
8/4/20;13.885
8/5/20;13.932
8/6/20;14.916
8/7/20;14.683
8/8/20;16.160
8/9/20;14.254
8/10/20;13.724
8/11/20;9.073
8/12/20;14.099
8/13/20;15.247
8/14/20;12.222
8/15/20;11.198
8/16/20;16.749
8/17/20;12.271
8/18/20;17.269
8/19/20;15.006
8/20/20;9.338
8/21/20;10.632
8/22/20;12.940
8/23/20;13.639
8/24/20;6.307
8/25/20;5.312
8/26/20;11.350
8/27/20;12.777
8/28/20;8.442
8/29/20;7.719
8/30/20;12.071
8/31/20;12.367
