 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
11/1/18;1.370
11/2/18;2.951
11/3/18;11.615
11/4/18;8.049
11/5/18;2.507
11/6/18;8.346
11/7/18;3.398
11/8/18;1.494
11/9/18;3.437
11/10/18;12.995
11/11/18;9.554
11/12/18;0.233
11/13/18;1.453
11/14/18;0.802
11/15/18;2.054
11/16/18;11.983
11/17/18;9.628
11/18/18;11.302
11/19/18;10.995
11/20/18;8.970
11/21/18;11.794
11/22/18;7.289
11/23/18;2.011
11/24/18;4.238
11/25/18;7.097
11/26/18;10.114
11/27/18;12.090
11/28/18;11.366
11/29/18;8.249
11/30/18;7.186
