 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
4/1/16;2.936
4/2/16;19.139
4/3/16;19.180
4/4/16;18.579
4/5/16;19.304
4/6/16;11.363
4/7/16;18.984
4/8/16;19.475
4/9/16;19.319
4/10/16;12.309
4/11/16;12.316
4/12/16;10.496
4/13/16;2.481
4/14/16;8.438
4/15/16;9.184
4/16/16;13.625
4/17/16;18.708
4/18/16;18.386
4/19/16;17.526
4/20/16;13.650
4/21/16;12.560
4/22/16;6.440
4/23/16;18.605
4/24/16;16.956
4/25/16;15.239
4/26/16;16.590
4/27/16;15.187
4/28/16;11.548
4/29/16;16.333
4/30/16;13.843
