 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
4/1/17;18.275
4/2/17;17.579
4/3/17;2.528
4/4/17;17.768
4/5/17;4.240
4/6/17;17.692
4/7/17;19.629
4/8/17;18.705
4/9/17;18.379
4/10/17;17.962
4/11/17;15.755
4/12/17;11.242
4/13/17;15.134
4/14/17;16.146
4/15/17;15.181
4/16/17;14.387
4/17/17;13.041
4/18/17;14.736
4/19/17;11.523
4/20/17;15.429
4/21/17;13.544
4/22/17;16.032
4/23/17;4.924
4/24/17;4.516
4/25/17;17.882
4/26/17;16.685
4/27/17;6.767
4/28/17;12.554
4/29/17;13.858
4/30/17;10.626
