 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
7/1/17;11.297
7/2/17;14.647
7/3/17;14.085
7/4/17;15.263
7/5/17;15.057
7/6/17;13.894
7/7/17;13.862
7/8/17;12.887
7/9/17;14.873
7/10/17;13.038
7/11/17;11.439
7/12/17;9.827
7/13/17;15.247
7/14/17;15.924
7/15/17;14.932
7/16/17;9.694
7/17/17;13.043
7/18/17;13.104
7/19/17;15.194
7/20/17;16.126
7/21/17;14.709
7/22/17;14.901
7/23/17;14.506
7/24/17;15.354
7/25/17;6.827
7/26/17;15.483
7/27/17;14.870
7/28/17;10.038
7/29/17;11.022
7/30/17;16.060
7/31/17;17.039
