 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
9/1/16;13.734
9/2/16;6.335
9/3/16;13.839
9/4/16;11.939
9/5/16;15.262
9/6/16;15.991
9/7/16;14.246
9/8/16;14.901
9/9/16;15.082
9/10/16;14.550
9/11/16;12.093
9/12/16;10.789
9/13/16;12.882
9/14/16;13.176
9/15/16;15.560
9/16/16;15.691
9/17/16;8.269
9/18/16;7.691
9/19/16;13.477
9/20/16;15.649
9/21/16;15.689
9/22/16;16.168
9/23/16;16.240
9/24/16;14.394
9/25/16;14.827
9/26/16;14.268
9/27/16;12.946
9/28/16;15.348
9/29/16;16.040
9/30/16;16.332
