 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
1/1/17;0.496
1/2/17;0.690
1/3/17;3.963
1/4/17;5.381
1/5/17;9.714
1/6/17;1.029
1/7/17;12.393
1/8/17;11.211
1/9/17;12.155
1/10/17;10.104
1/11/17;6.171
1/12/17;7.868
1/13/17;7.820
1/14/17;9.793
1/15/17;9.672
1/16/17;7.641
1/17/17;7.492
1/18/17;3.909
1/19/17;5.682
1/20/17;5.668
1/21/17;2.489
1/22/17;2.873
1/23/17;5.749
1/24/17;12.289
1/25/17;11.101
1/26/17;11.671
1/27/17;7.610
1/28/17;9.314
1/29/17;8.993
1/30/17;12.801
1/31/17;12.381
