 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
8/1/16;9.871
8/2/16;11.748
8/3/16;14.529
8/4/16;15.538
8/5/16;15.950
8/6/16;14.317
8/7/16;15.531
8/8/16;11.518
8/9/16;9.333
8/10/16;7.973
8/11/16;11.632
8/12/16;10.035
8/13/16;11.846
8/14/16;15.281
8/15/16;15.919
8/16/16;12.225
8/17/16;16.308
8/18/16;13.031
8/19/16;14.151
8/20/16;13.548
8/21/16;13.551
8/22/16;16.355
8/23/16;15.195
8/24/16;11.635
8/25/16;14.230
8/26/16;14.671
8/27/16;14.154
8/28/16;13.931
8/29/16;14.149
8/30/16;14.671
8/31/16;13.718
