 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
11/1/16;11.377
11/2/16;6.322
11/3/16;9.329
11/4/16;12.042
11/5/16;11.121
11/6/16;11.097
11/7/16;11.805
11/8/16;5.679
11/9/16;8.019
11/10/16;10.565
11/11/16;6.866
11/12/16;7.996
11/13/16;9.816
11/14/16;10.733
11/15/16;8.151
11/16/16;11.079
11/17/16;10.867
11/18/16;10.767
11/19/16;12.103
11/20/16;11.935
11/21/16;11.656
11/22/16;11.180
11/23/16;9.462
11/24/16;8.197
11/25/16;9.806
11/26/16;11.359
11/27/16;8.714
11/28/16;4.194
11/29/16;3.735
11/30/16;2.308
