 ;City of W. Point Welcome Centr / Total yield / Meter Change  [kWh]0
1/1/19;1.599
1/2/19;0.901
1/3/19;1.062
1/4/19;6.604
1/5/19;11.252
1/6/19;10.983
1/7/19;10.248
1/8/19;4.508
1/9/19;12.023
1/10/19;12.216
1/11/19;11.246
1/12/19;1.741
1/13/19;2.254
1/14/19;3.781
1/15/19;6.340
1/16/19;11.771
1/17/19;4.562
1/18/19;2.795
1/19/19;1.348
1/20/19;8.382
1/21/19;12.413
1/22/19;5.657
1/23/19;4.558
1/24/19;6.256
1/25/19;11.764
1/26/19;12.288
1/27/19;4.598
1/28/19;10.586
1/29/19;6.786
1/30/19;9.212
1/31/19;12.636
