 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
1/1/18;5.473
1/2/18;8.555
1/3/18;6.122
1/4/18;8.518
1/5/18;8.029
1/6/18;8.133
1/7/18;6.476
1/8/18;1.735
1/9/18;4.904
1/10/18;2.676
1/11/18;2.986
1/12/18;1.659
1/13/18;4.328
1/14/18;8.683
1/15/18;8.248
1/16/18;4.457
1/17/18;2.027
1/18/18;8.510
1/19/18;8.607
1/20/18;6.502
1/21/18;8.008
1/22/18;1.878
1/23/18;8.762
1/24/18;7.937
1/25/18;8.806
1/26/18;5.690
1/27/18;1.716
1/28/18;0.603
1/29/18;9.171
1/30/18;9.444
1/31/18;9.078
