 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
7/1/18;5.720
7/2/18;8.831
7/3/18;9.556
7/4/18;10.644
7/5/18;10.329
7/6/18;10.009
7/7/18;7.067
7/8/18;5.224
7/9/18;10.555
7/10/18;11.591
7/11/18;10.116
7/12/18;10.023
7/13/18;7.282
7/14/18;8.032
7/15/18;7.732
7/16/18;9.237
7/17/18;8.308
7/18/18;8.322
7/19/18;7.802
7/20/18;8.716
7/21/18;7.722
7/22/18;11.302
7/23/18;8.493
7/24/18;7.300
7/25/18;9.602
7/26/18;11.655
7/27/18;11.024
7/28/18;11.303
7/29/18;11.661
7/30/18;7.449
7/31/18;5.121
