 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
3/1/17;6.031
3/2/17;11.389
3/3/17;11.627
3/4/17;11.145
3/5/17;6.218
3/6/17;7.699
3/7/17;3.809
3/8/17;12.109
3/9/17;11.696
3/10/17;8.333
3/11/17;8.030
3/12/17;1.769
3/13/17;1.509
3/14/17;3.954
3/15/17;13.756
3/16/17;13.243
3/17/17;8.218
3/18/17;2.768
3/19/17;13.177
3/20/17;9.031
3/21/17;11.390
3/22/17;10.693
3/23/17;6.927
3/24/17;8.929
3/25/17;9.568
3/26/17;10.344
3/27/17;6.355
3/28/17;6.783
3/29/17;10.165
3/30/17;8.625
3/31/17;11.583
