 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
10/1/20;10.193
10/2/20;10.759
10/3/20;10.184
10/4/20;8.166
10/5/20;9.237
10/6/20;5.930
10/7/20;8.522
10/8/20;7.372
10/9/20;0.489
10/10/20;1.837
10/11/20;3.443
10/12/20;6.810
10/13/20;8.576
10/14/20;8.669
10/15/20;7.135
10/16/20;6.061
10/17/20;8.931
10/18/20;8.433
10/19/20;7.964
10/20/20;7.258
10/21/20;5.576
10/22/20;4.866
10/23/20;5.581
10/24/20;2.019
10/25/20;3.009
10/26/20;5.116
10/27/20;1.602
10/28/20;1.927
10/29/20;6.301
10/30/20;8.710
10/31/20;6.119
