 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
9/1/16;9.614
9/2/16;4.435
9/3/16;9.687
9/4/16;8.357
9/5/16;10.683
9/6/16;11.194
9/7/16;9.972
9/8/16;10.431
9/9/16;10.557
9/10/16;10.185
9/11/16;8.465
9/12/16;7.552
9/13/16;9.017
9/14/16;9.223
9/15/16;10.892
9/16/16;10.984
9/17/16;5.788
9/18/16;5.384
9/19/16;9.434
9/20/16;10.954
9/21/16;10.982
9/22/16;11.318
9/23/16;11.368
9/24/16;10.076
9/25/16;10.379
9/26/16;9.988
9/27/16;9.062
9/28/16;10.744
9/29/16;11.228
9/30/16;11.432
