 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
12/1/18;0.349
12/2/18;5.683
12/3/18;7.175
12/4/18;8.126
12/5/18;8.255
12/6/18;6.950
12/7/18;1.485
12/8/18;0.405
12/9/18;1.154
12/10/18;1.006
12/11/18;8.101
12/12/18;6.352
12/13/18;2.449
12/14/18;0.470
12/15/18;1.471
12/16/18;1.448
12/17/18;7.687
12/18/18;7.474
12/19/18;3.660
12/20/18;0.584
12/21/18;1.373
12/22/18;7.904
12/23/18;4.248
12/24/18;7.988
12/25/18;7.376
12/26/18;6.360
12/27/18;1.872
12/28/18;0.337
12/29/18;5.335
12/30/18;0.921
12/31/18;1.818
