 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
5/1/20;12.063
5/2/20;11.579
5/3/20;11.616
5/4/20;10.176
5/5/20;9.226
5/6/20;12.028
5/7/20;12.223
5/8/20;3.919
5/9/20;12.555
5/10/20;11.993
5/11/20;12.190
5/12/20;11.645
5/13/20;10.576
5/14/20;3.478
5/15/20;8.966
5/16/20;10.272
5/17/20;7.578
5/18/20;4.990
5/19/20;8.920
5/20/20;4.759
5/21/20;8.758
5/22/20;8.023
5/23/20;8.795
5/24/20;9.266
5/25/20;10.795
5/26/20;2.938
5/27/20;4.148
5/28/20;8.957
5/29/20;7.505
5/30/20;9.850
5/31/20;11.407
