 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
12/1/16;8.271
12/2/16;8.079
12/3/16;1.340
12/4/16;0.348
12/5/16;0.896
12/6/16;3.487
12/7/16;1.869
12/8/16;7.640
12/9/16;8.342
12/10/16;8.189
12/11/16;3.452
12/12/16;2.206
12/13/16;0.780
12/14/16;3.465
12/15/16;8.046
12/16/16;7.382
12/17/16;2.136
12/18/16;2.087
12/19/16;2.127
12/20/16;1.336
12/21/16;7.739
12/22/16;3.361
12/23/16;6.549
12/24/16;7.386
12/25/16;6.317
12/26/16;2.464
12/27/16;3.177
12/28/16;2.659
12/29/16;7.557
12/30/16;8.289
12/31/16;1.063
