 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
10/1/15;1.853
10/2/15;2.828
10/3/15;3.722
10/4/15;3.032
10/5/15;3.823
10/6/15;10.491
10/7/15;10.193
10/8/15;9.763
10/9/15;5.891
10/10/15;5.790
10/11/15;6.990
10/12/15;8.864
10/13/15;7.615
10/14/15;9.522
10/15/15;9.186
10/16/15;8.909
10/17/15;9.748
10/18/15;9.749
10/19/15;9.491
10/20/15;8.919
10/21/15;8.483
10/22/15;6.430
10/23/15;7.655
10/24/15;5.954
10/25/15;3.270
10/26/15;0.746
10/27/15;0.903
10/28/15;5.589
10/29/15;3.887
10/30/15;8.551
10/31/15;2.597
