 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
1/1/19;1.119
1/2/19;0.631
1/3/19;0.743
1/4/19;4.623
1/5/19;7.876
1/6/19;7.688
1/7/19;7.174
1/8/19;3.156
1/9/19;8.416
1/10/19;8.551
1/11/19;7.872
1/12/19;1.219
1/13/19;1.578
1/14/19;2.647
1/15/19;4.438
1/16/19;8.240
1/17/19;3.193
1/18/19;1.957
1/19/19;0.944
1/20/19;5.867
1/21/19;8.689
1/22/19;3.960
1/23/19;3.191
1/24/19;4.379
1/25/19;8.235
1/26/19;8.602
1/27/19;3.219
1/28/19;7.410
1/29/19;4.750
1/30/19;6.448
1/31/19;8.845
