 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
1/1/20;6.006
1/2/20;0.452
1/3/20;0.806
1/4/20;5.607
1/5/20;7.950
1/6/20;7.440
1/7/20;7.971
1/8/20;7.871
1/9/20;6.252
1/10/20;3.053
1/11/20;0.980
1/12/20;5.639
1/13/20;1.299
1/14/20;0.582
1/15/20;3.411
1/16/20;6.621
1/17/20;5.486
1/18/20;1.983
1/19/20;8.464
1/20/20;8.682
1/21/20;8.775
1/22/20;7.535
1/23/20;1.743
1/24/20;3.963
1/25/20;8.510
1/26/20;3.849
1/27/20;2.298
1/28/20;8.463
1/29/20;1.455
1/30/20;8.308
1/31/20;0.848
