 ;CO2 Saved [Month] / Meter Change [kg] / September 2020;CO2 Saved [Year] / Meter Change [kg] / 2020
City of W. Point Welcome Centr;231.772;2538.709
;231.77 / [Total];2538.71 / [Total]
