 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
9/1/17;9.590
9/2/17;11.049
9/3/17;10.243
9/4/17;8.789
9/5/17;9.864
9/6/17;6.956
9/7/17;12.689
9/8/17;11.855
9/9/17;12.241
9/10/17;7.961
9/11/17;0.382
9/12/17;3.170
9/13/17;9.834
9/14/17;6.481
9/15/17;9.885
9/16/17;7.395
9/17/17;10.053
9/18/17;9.867
9/19/17;10.520
9/20/17;11.050
9/21/17;10.526
9/22/17;8.674
9/23/17;10.234
9/24/17;9.281
9/25/17;10.632
9/26/17;11.003
9/27/17;10.991
9/28/17;10.448
9/29/17;10.534
9/30/17;6.628
