 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
11/1/17;6.385
11/2/17;4.942
11/3/17;6.842
11/4/17;6.836
11/5/17;6.279
11/6/17;3.376
11/7/17;5.315
11/8/17;1.453
11/9/17;1.157
11/10/17;8.503
11/11/17;2.770
11/12/17;1.184
11/13/17;8.367
11/14/17;8.264
11/15/17;7.550
11/16/17;7.320
11/17/17;7.853
11/18/17;4.105
11/19/17;8.461
11/20/17;6.770
11/21/17;4.756
11/22/17;5.385
11/23/17;6.414
11/24/17;7.815
11/25/17;3.810
11/26/17;8.191
11/27/17;8.050
11/28/17;7.679
11/29/17;2.108
11/30/17;2.435
