 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
3/1/16;7.229
3/2/16;12.105
3/3/16;0.540
3/4/16;6.301
3/5/16;11.876
3/6/16;12.324
3/7/16;11.890
3/8/16;9.312
3/9/16;9.615
3/10/16;6.580
3/11/16;7.342
3/12/16;5.244
3/13/16;8.403
3/14/16;7.624
3/15/16;10.296
3/16/16;9.258
3/17/16;10.115
3/18/16;9.047
3/19/16;7.600
3/20/16;11.348
3/21/16;13.390
3/22/16;13.020
3/23/16;10.294
3/24/16;6.657
3/25/16;6.999
3/26/16;2.520
3/27/16;1.573
3/28/16;10.300
3/29/16;12.723
3/30/16;10.737
3/31/16;4.174
