 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
11/1/18;0.959
11/2/18;2.066
11/3/18;8.131
11/4/18;5.634
11/5/18;1.755
11/6/18;5.842
11/7/18;2.379
11/8/18;1.046
11/9/18;2.406
11/10/18;9.097
11/11/18;6.688
11/12/18;0.163
11/13/18;1.017
11/14/18;0.561
11/15/18;1.438
11/16/18;8.388
11/17/18;6.740
11/18/18;7.911
11/19/18;7.697
11/20/18;6.279
11/21/18;8.256
11/22/18;5.102
11/23/18;1.408
11/24/18;2.967
11/25/18;4.968
11/26/18;7.080
11/27/18;8.463
11/28/18;7.956
11/29/18;5.774
11/30/18;5.030
